point
50.7082186,15.6603436
50.7072161,15.6628375
60.223243,25.1305844
59.9659073,10.6746912
59.9658179,10.6746958
59.965464,10.6743948
59.9647186,10.67342
50.4605948,9.9845169
48.8385848,18.9986992
60.1781706,25.0329146
60.1784021,25.0338155
60.1789385,25.0359738
60.1791442,25.0367816
60.1778378,25.031598
60.1779429,25.0309605
60.1780487,25.0303269
60.1767924,25.0247437
60.1767539,25.0241729
60.176806,25.0235457
60.1770602,25.0226928
60.1772615,25.0220253
60.1776038,25.0213965
60.1778155,25.0214481
60.1780721,25.0214046
60.178368,25.0215562
60.1785716,25.0221011
60.178513,25.0263128
60.1784155,25.0268692
60.1782414,25.027649
60.1780747,25.0277402
60.1780141,25.0278394
60.1777881,25.0284873
60.1780575,25.0300464
60.1780206,25.0295756
60.1779854,25.0292791
60.1778859,25.031312
60.1768253,25.0270686
60.0057289,10.7204382
60.0026609,10.691431
60.0030971,10.672344
60.0030036,10.6724366
60.0024342,10.672635
60.002323,10.6727883
60.0022595,10.6729992
60.0022543,10.6733713
59.9995027,10.6672154
59.9986635,10.6684195
59.9985288,10.6687053
59.9984694,10.6690927
59.998831,10.668174
59.9954182,10.6757623
59.9887851,10.6874908
60.0172089,10.6619948
60.0161097,10.6611505
60.0154432,10.6613001
60.0123167,10.6616786
60.0121235,10.6616093
60.0113499,10.6622913
60.0106933,10.6631657
60.0105582,10.6634518
60.0096245,10.6658767
60.0091221,10.6663428
60.0067467,10.6653758
60.006432,10.665511
60.0019414,10.6792977
59.9994957,10.681507
59.9940594,10.6788917
59.988268,10.6878646
59.987935,10.6878332
59.9789548,10.6846214
60.0504682,10.6395843
60.0407579,10.6442533
60.0313883,10.6421868
60.0780531,10.6579845
60.050509,10.6404936
60.0503487,10.6409298
60.0502789,10.6414636
60.0501739,10.6424808
60.0501148,10.6427124
60.0500073,10.6431386
60.0498699,10.6434201
60.0496952,10.6439317
60.0781791,10.6580069
60.0783998,10.6581619
60.0786653,10.6582232
60.0788149,10.6581575
60.0789035,10.6580859
60.0813466,10.6572914
60.046677,10.7016175
60.0469186,10.7013425
60.0470284,10.7012464
60.0472068,10.7011507
60.0473441,10.7012464
60.0474997,10.7014679
60.2415651,24.8674184
60.2423542,24.8687947
60.2196657,24.8018421
59.9934439,10.6968536
60.0008071,10.6942964
60.0008145,10.6939428
60.0012471,10.6926768
60.0014272,10.6923974
59.9889252,10.6874099
59.9938843,10.6829026
59.9940587,10.6829292
59.994719,10.6825981
59.9949432,10.6824808
60.0587346,10.7508608
60.0616996,10.7653008
60.0605199,10.7656928
60.0592772,10.7670236
60.0592708,10.7676471
60.0592035,10.7735679
60.0591098,10.7738726
60.059687,10.7750866
60.0600808,10.7763041
60.0599968,10.776794
60.0591816,10.7785502
60.0590373,10.7788965
60.058882,10.7790846
60.0585003,10.7791984
60.0583929,10.7792641
60.0582518,10.7794281
60.0580037,10.7798303
60.0577477,10.780049
60.0575951,10.780225
60.0575267,10.7804333
60.0574382,10.7809184
60.0573798,10.7813195
60.0573095,10.7815267
60.0572316,10.7816402
60.0570973,10.7816934
60.0568376,10.7816054
60.0566148,10.7815737
60.0564436,10.7816398
60.0560827,10.7819019
60.055915,10.7820659
60.0558342,10.7822421
60.0559425,10.7832456
60.0558542,10.7845149
60.0557718,10.7871756
60.0557308,10.7875209
60.0556018,10.7878871
60.0554863,10.7880151
60.055289,10.7880979
60.0548846,10.7882756
60.0547666,10.7884023
60.0546107,10.7885971
60.0530052,10.7926238
60.0528931,10.79317
60.0528207,10.7941737
60.0527411,10.794577
60.052577,10.7950318
60.0516809,10.7964654
60.0515277,10.7969318
60.0514883,10.7972763
60.0514197,10.7977073
60.051121,10.7985217
60.0504528,10.8002961
60.0503144,10.800931
60.0502706,10.8014425
60.0374354,10.8115354
60.2645357,24.9376218
60.1315904,24.6823143
50.7206074,12.8458718
60.1769982,24.645764
46.1730426,7.3834248
46.1725691,7.383407
46.1722306,7.3832925
46.1720047,7.3833778
46.1715271,7.3831038
46.1711388,7.3828574
46.1710343,7.38285
46.1728111,7.3833058
50.7502544,15.547357
50.7407951,15.5683887
50.7419855,15.5649655
50.7423935,15.5640742
50.7388199,15.5692071
50.7505084,15.5472897
50.7384273,15.5694288
50.7505792,15.5475535
50.7409674,15.568573
50.7503216,15.5472568
50.7500929,15.5485318
50.7384904,15.569573
50.7505464,15.5473814
50.7414054,15.5675113
50.7504355,15.5472385
50.4229405,13.1174465
50.7899626,13.7171662
50.7901359,13.719319
48.7892313,10.0780617
50.7189796,13.6877564
47.4552632,11.5330335
48.7433424,8.5191838
48.7430154,8.5190433
48.7220448,8.4895533
48.7207853,8.4708653
48.7205234,8.4500452
48.720284,8.4499835
48.7198324,8.4498709
48.719134,8.449829
48.7187905,8.4497534
48.5925306,19.6258079
48.7029913,8.4257073
48.7031167,8.4278211
48.6825159,8.4394648
48.6905581,8.4391805
50.4028904,12.5712457
50.4033399,12.5731195
50.4032745,12.574404
50.4034373,12.5749406
50.4039951,12.5762002
50.4069228,12.5797345
50.4093295,12.5823798
50.4044458,12.5769575
59.265392,10.9608683
47.3378597,11.1812043
65.0089339,25.5008354
60.1703001,25.0294378
60.1704361,25.0292391
60.1706545,25.0291969
60.1708581,25.0291889
60.1710061,25.0291422
60.1711546,25.0290738
60.1713242,25.0288138
60.1714869,25.0284684
60.1716871,25.0281663
60.1717546,25.0280945
60.1718692,25.0280443
60.1719157,25.0280443
60.1721652,25.0281241
60.1722786,25.0281013
60.1728855,25.0277207
60.1730288,25.0276897
60.1731173,25.0278891
